value,datetime,datetime_utc,tz_time,geo_id,geo_name
31437.0,2024-01-04T10:15:00.000+01:00,2024-01-04T09:15:00Z,2024-01-04T09:15:00.000Z,8741,Península
31373.0,2024-01-04T10:30:00.000+01:00,2024-01-04T09:30:00Z,2024-01-04T09:30:00.000Z,8741,Península
31273.0,2024-01-04T10:45:00.000+01:00,2024-01-04T09:45:00Z,2024-01-04T09:45:00.000Z,8741,Península
31219.0,2024-01-04T11:00:00.000+01:00,2024-01-04T10:00:00Z,2024-01-04T10:00:00.000Z,8741,Península
31133.0,2024-01-04T11:15:00.000+01:00,2024-01-04T10:15:00Z,2024-01-04T10:15:00.000Z,8741,Península
31058.0,2024-01-04T11:30:00.000+01:00,2024-01-04T10:30:00Z,2024-01-04T10:30:00.000Z,8741,Península
30996.0,2024-01-04T11:45:00.000+01:00,2024-01-04T10:45:00Z,2024-01-04T10:45:00.000Z,8741,Península
30827.0,2024-01-04T12:00:00.000+01:00,2024-01-04T11:00:00Z,2024-01-04T11:00:00.000Z,8741,Península
30813.0,2024-01-04T12:15:00.000+01:00,2024-01-04T11:15:00Z,2024-01-04T11:15:00.000Z,8741,Península
30829.0,2024-01-04T12:30:00.000+01:00,2024-01-04T11:30:00Z,2024-01-04T11:30:00.000Z,8741,Península
30860.0,2024-01-04T12:45:00.000+01:00,2024-01-04T11:45:00Z,2024-01-04T11:45:00.000Z,8741,Península
31492.0,2024-01-04T13:00:00.000+01:00,2024-01-04T12:00:00Z,2024-01-04T12:00:00.000Z,8741,Península
31483.0,2024-01-04T13:15:00.000+01:00,2024-01-04T12:15:00Z,2024-01-04T12:15:00.000Z,8741,Península
31448.0,2024-01-04T13:30:00.000+01:00,2024-01-04T12:30:00Z,2024-01-04T12:30:00.000Z,8741,Península
31390.0,2024-01-04T13:45:00.000+01:00,2024-01-04T12:45:00Z,2024-01-04T12:45:00.000Z,8741,Península
31704.0,2024-01-04T14:00:00.000+01:00,2024-01-04T13:00:00Z,2024-01-04T13:00:00.000Z,8741,Península
31609.0,2024-01-04T14:15:00.000+01:00,2024-01-04T13:15:00Z,2024-01-04T13:15:00.000Z,8741,Península
31506.0,2024-01-04T14:30:00.000+01:00,2024-01-04T13:30:00Z,2024-01-04T13:30:00.000Z,8741,Península
31405.0,2024-01-04T14:45:00.000+01:00,2024-01-04T13:45:00Z,2024-01-04T13:45:00.000Z,8741,Península
31404.0,2024-01-04T15:00:00.000+01:00,2024-01-04T14:00:00Z,2024-01-04T14:00:00.000Z,8741,Península
31329.0,2024-01-04T15:15:00.000+01:00,2024-01-04T14:15:00Z,2024-01-04T14:15:00.000Z,8741,Península
31277.0,2024-01-04T15:30:00.000+01:00,2024-01-04T14:30:00Z,2024-01-04T14:30:00.000Z,8741,Península
31251.0,2024-01-04T15:45:00.000+01:00,2024-01-04T14:45:00Z,2024-01-04T14:45:00.000Z,8741,Península
31147.0,2024-01-04T16:00:00.000+01:00,2024-01-04T15:00:00Z,2024-01-04T15:00:00.000Z,8741,Península
31176.0,2024-01-04T16:15:00.000+01:00,2024-01-04T15:15:00Z,2024-01-04T15:15:00.000Z,8741,Península
31245.0,2024-01-04T16:30:00.000+01:00,2024-01-04T15:30:00Z,2024-01-04T15:30:00.000Z,8741,Península
31361.0,2024-01-04T16:45:00.000+01:00,2024-01-04T15:45:00Z,2024-01-04T15:45:00.000Z,8741,Península
31246.0,2024-01-04T17:00:00.000+01:00,2024-01-04T16:00:00Z,2024-01-04T16:00:00.000Z,8741,Península
31543.0,2024-01-04T17:15:00.000+01:00,2024-01-04T16:15:00Z,2024-01-04T16:15:00.000Z,8741,Península
31874.0,2024-01-04T17:30:00.000+01:00,2024-01-04T16:30:00Z,2024-01-04T16:30:00.000Z,8741,Península
32205.0,2024-01-04T17:45:00.000+01:00,2024-01-04T16:45:00Z,2024-01-04T16:45:00.000Z,8741,Península
32463.0,2024-01-04T18:00:00.000+01:00,2024-01-04T17:00:00Z,2024-01-04T17:00:00.000Z,8741,Península
32660.0,2024-01-04T18:15:00.000+01:00,2024-01-04T17:15:00Z,2024-01-04T17:15:00.000Z,8741,Península
32806.0,2024-01-04T18:30:00.000+01:00,2024-01-04T17:30:00Z,2024-01-04T17:30:00.000Z,8741,Península
